G1_amplitude,G1_sigma,G2_amplitude,G2_sigma,G3_amplitude,G3_sigma,Bayesian Information Criterion,Total dip depth,Intercept,Total dip area (AOC combined model),sample,region-set,is control,Dip area: z-score vs controls in same region set,Dip area: Prediction interval of controls,Dip area: interpretation vs controls in same region set,Dip depth: z-score vs controls in same region set,Dip depth: Prediction interval of controls,Dip depth: interpretation vs controls in same region set
2.6913285758329732,149.99851579401786,18.066342962655344,757.9999999999875,18.410136360254945,6078.999991992857,-708.726148697524,-0.01787463953167939,-0.0012667888728614591,39.73536166680635,EE87935,prostate_cluster2483_hg38,yes,-0.13,"(-93.47341180563569, 191.0627818980635)",N/A,1.07,"(-0.07728239111701385, -0.0002524482321777377)",N/A
21.885772932976028,149.06960467913075,-18.739562644903,757.0011613503966,10.357029952017431,6078.9999944931105,-848.8311042302195,-0.049374909574188816,-0.0002865301971172749,16.759803036938017,EE87935,NSCLC_cluster2150_hg38,yes,0.12,"(-49.495728255444675, 75.44639125994534)",N/A,-0.16,"(-0.07457751274911223, -0.019682802660455564)",N/A
-4.119602250984117,149.0,-65.47339187367302,757.0000000283998,21.550019864858527,6078.000595467754,-607.1837601493199,0.0441203734985247,0.0007002532016956785,-49.32065394805325,EE87935,A549_pre_cluster2078_hg38,yes,0.05,"(-318.2851230785445, 205.32176709554957)",N/A,1.65,"(-0.10824742002019146, 0.05764113139016777)",N/A
12.521326936502392,149.00000000000048,-2.1490526825160376,757.0000000051629,-38.488015213489625,6078.032178282027,-828.0444205026707,-0.029866627386291037,0.0008940373564345492,-26.12407256807829,EE87935,SAEC_approx_hg38,yes,-0.12,"(-104.07818752838234, 62.04259988512895)",N/A,0.47,"(-0.06776865448309806, -0.00651728756734864)",N/A
-2.724156656780829,149.00401571660498,-199.80125837151334,757.9999999464575,-803.8742946221641,6078.000002468052,-705.0450102586717,0.165214837127431,0.022775780190300292,-1007.7902200906816,EE87935,hematopoietic_all_hg38,yes,0.72,"(-1490.6359028018726, -782.2876988968612)",N/A,-0.26,"(0.09763350430916581, 0.25351570144580327)",N/A
16.5077713618941,149.0000000001091,-23.993312762842717,757.0000000000088,-131.68905479653193,6078.944098937206,-678.0472963998965,-0.0229120559180526,-0.00011660322658570916,-136.65524253212777,EE87935,A549_post_hg38,yes,-0.31,"(-303.50008949567933, 92.4995323675049)",N/A,-0.09,"(-0.08242983880136086, 0.042366913050591246)",N/A
-16.700351352055627,149.9976488210801,1.8571618523499775,757.983923321765,28.285445199815587,6078.058738163959,-585.5608344960301,0.04158318814477335,-0.000947547445536639,10.812899600669057,EE87935,hematopoietic_cluster281_hg38,yes,0.74,"(-392.3946598480825, 193.03816512788575)",N/A,0.86,"(-0.07639333826015618, 0.08791194097540789)",N/A
4.234005479046639,149.00000000004744,-3.617205480629564,757.9999999999022,-72.07286616597901,6078.077363178068,-666.8063672422358,-0.004702039950188723,-0.0011641542190514035,-70.74439996493953,EE87935,mammary_cluster2139_hg38,yes,-0.29,"(-242.12189907500976, 159.5756734919952)",N/A,0.15,"(-0.0581626254005547, 0.041290626763388676)",N/A
36.25233047436948,149.0000000000211,-76.11384641070501,757.0000000020033,-64.64641464360581,6078.000003911568,-576.7118987194682,-0.05270881755486887,0.00037520389268139837,-99.43873473171732,EE87935,hematopoietic_cluster124_hg38,yes,-0.3,"(-350.96554163586967, 242.55186875761547)",N/A,-1.21,"(-0.08610250455824389, 0.08730309802897213)",N/A
9.234438100527044,149.00000063405753,13.831700687813226,757.9832687379401,-28.62815503825869,6078.009908885739,-837.4724358262451,-0.030125730261801605,-0.0002065333204640498,-3.949373682634445,EE87935,hepatocyte_all_hg38,yes,-0.64,"(-59.99696441532231, 105.35520448310389)",N/A,-0.06,"(-0.05401521471541512, -0.004759194653321447)",N/A
